"Story","Title","Result","Date","Stability","Duration (s)"
"When logging in","Users can log in","SUCCESS","2022-11-04T14:49:44.036468202Z[Etc/UTC]","0.0","15.91"
"When logging in","Locked user shows correct error message","SUCCESS","2022-11-04T14:50:00.263843303Z[Etc/UTC]","0.0","1.62"
"When logging in","Website shows repeated images","SUCCESS","2022-11-04T14:50:02.022622256Z[Etc/UTC]","0.0","1.18"
